gene_id	log2_foldchange	p_value	set1_WT_D0	set1_NonoKO_D0	set2_WT_D0	set2_NonoKO_D0
Acta1	-7.32175	5e-05	1.50212528356821	66.0470684201909	1.26174673301969	194.923309634562
Acta2	-7.39843	5e-05	1.32037325924688	64.9980851876817	0.540983418370514	245.141102004707
Antxr2	-6.35281	0.0432	0.0725498676467781	1.94553021726517	0.0499518527924758	8.38259384722471
Bmp1	-5.58273	5e-05	2.16840139031331	27.8345335836616	1.4412788612435	151.218199220567
Bmp2	-7.47658	0.0199	0.127696113267556	3.49501257121745	0.0527383369409183	29.183706239403
Cd44	-6.96206	5e-05	0.171859398669249	6.53158901756655	0.215903874361817	43.4663838576435
Cdk14	-6.50128	0.00425	0.0725735448360725	4.15407726801075	0.0750425985311999	9.64175337705559
Cdx2	-6.38677	2e-04	0.269148969480038	13.4213160720506	0.461386419972748	49.9243063717431
Col12a1	-6.66436	0.00325	0.0367899126905428	1.40551766627632	0.0304987367698262	5.62416386329396
Col1a2	-5.87157	5e-05	0.311044276112191	7.79620018076076	0.196582800583026	22.9255633975907
Col3a1	-6.64026	0.0312	0.14316234927954	1.45549501132858	0	13.3214648278773
Csf1	-6.29041	5e-05	0.52907863337856	11.5265698608164	0.334091049456881	58.4993888868924
Fgf5	-5.71755	0.00285	0.197483444853407	6.07869261267222	0.116373935952274	10.8727025651114
Fhl2	-5.56387	0.00015	0.842981930098053	11.6708941443503	0.39859232587935	49.5406826400795
Ftl1	7.9116	5e-05	3502.71459475729	47.1141845183064	4044.4206922286	59.8123849468284
Hist1h2ah	6.79933	5e-05	693.460479703763	983.744120908601	1473.32554404374	724.870423201566
Hoxd9	-6.01114	0.0432	0	2.53903184222548	0.330824741319311	19.6430117202877
Hprt	8.08696	5e-05	306.279241766688	1.45558248059132	279.082311096379	0.738471068892703
Igf2	-6.17946	5e-05	3.07167136365229	156.774723185496	4.07690247990563	378.440042907759
Klhdc8a	-5.60683	0.0114	0.147374817219884	0.880161076201223	0.0217571776389512	7.53003855647946
Ly6c1	-6.00487	0.00555	0.14458031695341	6.41616198676265	0.437636945447962	46.9368404068793
Mid1	-9.07852	5e-05	2.84894300360831	1914.1967835875	2.79884837869125	1141.79897057479
Pcdh18	-7.45142	0.0432	0.0515763174049108	3.5951486790521	0.0355607589926474	12.0601826005737
Pcsk5	-6.72937	0.01535	0.0243317747889554	0.760253675383241	0.0632159040989524	8.86069299828998
Piezo2	-5.98254	0.00015	0.0966967531838306	2.63128275800353	0.0333958100744528	5.91592709273241
Pkdcc	-5.94046	5e-05	1.65643248584864	33.6957516923242	0.872762973169448	121.938202501604
Pmp22	-5.78922	5e-05	2.5717837450251	38.9306250876657	2.20662229639378	230.750443688941
Prss23	-5.66866	5e-05	0.797249438975872	11.0911997044948	0.528866956176571	57.952409741024
Pxdc1	-5.9031	4e-04	0.419885355649998	11.4536464125033	0.485120786689312	44.8445990283355
Six2	-5.66962	0.0432	0.137278271775009	2.09876340719008	0.0941143934743294	10.0251002351358
T	-7.0645	5e-05	1.3259048425958	67.0208928787834	0.438132481557639	176.76624767264
Tacstd2	-6.04089	5e-05	0.562709121122628	17.2255810811165	0.866197119716221	79.5679303969016
Tagln	-6.02065	5e-05	7.72725790164172	220.371356407818	7.9179720734678	829.09179273885
Tgfb2	-6.1147	5e-05	0.302405061668388	9.76050065389115	0.449427078984312	44.0388969006475
Thbs1	-6.41327	5e-05	0.882934227383732	37.4601695928049	1.21275513251779	148.689420492199
Tmem200a	-5.62164	0.0134	0.11613365384049	3.04336989242251	0.0700558131933237	6.4111001147739
Tmprss2	-7.68486	0.0168	0.17467580033582	4.30675972554058	0.0300374047379631	38.7761453548823
Tspan18	-5.72438	0.02505	0.120916446077964	1.3896630525027	0.0249759566118543	6.43921816535453
Wls	-5.64438	5e-05	1.64789389945933	22.6746893781438	0.963394714692471	111.927991912509
Wnt4	-6.52971	1e-04	0.379098437441691	10.2739128301977	0.146836413982368	39.5104756255166
